github.com//birobirobiro/awesome-shadcn-ui , 5.7k , Svelte , shadcn
github.com//huntabyte/shadcn-svelte , 4.5k , Vue , shadcn
github.com//radix-vue/shadcn-vue , 3.8k , TypeScript , shadcn
github.com//ixartz/SaaS-Boilerplate , 2.9k , TypeScript , shadcn
github.com//nicoalbanese/kirimase , 2.4k , TypeScript , shadcn
github.com//mrzachnugent/react-native-reusables , 2.4k , TypeScript , shadcn
github.com//vantezzen/auto-form , 2.3k , TypeScript , shadcn
github.com//sadmann7/shadcn-table , 2.2k , JavaScript , shadcn
github.com//suyalcinkaya/onur.dev , 1.7k , TypeScript , shadcn
github.com//Significant-Gravitas/AutoGPT , 165k , Python , gpt
github.com//ChatGPTNextWeb/ChatGPT-Next-Web , 73.2k , TypeScript , gpt
github.com//nomic-ai/gpt4all , 67.7k , C++ , gpt
github.com//fighting41love/funNLP , 66.4k , Python , gpt
github.com//binary-husky/gpt_academic , 62.4k , Python , gpt
github.com//xtekky/gpt4free , 59.4k , Python , gpt
github.com//microsoft/generative-ai-for-beginners , 57.2k , Jupyter Notebook , gpt
github.com//zylon-ai/private-gpt , 53.1k , Python , gpt
github.com//lencx/ChatGPT , 51.8k , Rust , gpt
github.com//kelseyhightower/nocode , 60.1k , Dockerfile , write
github.com//adam-p/markdown-here , 59.6k , JavaScript , write
github.com//locustio/locust , 24.3k , Python , write
github.com//zhaoolee/ChromeAppHeroes , 21.8k , JavaScript , write
github.com//roboflow/supervision , 18.1k , Python , write
github.com//stitionai/devika , 18k , Python , write
github.com//hackiftekhar/IQKeyboardManager , 16.4k , Swift , write
github.com//rust-embedded/rust-raspberrypi-OS-tutorials , 13.3k , Rust , write
github.com//BuilderIO/mitosis , 12k , TypeScript , write
github.com//slimphp/Slim , 11.9k , PHP , write
